formula,pattern,template_formula,template_file,roles,chalcogen,halide,charge_check
LiMgSF,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Mg,S,F,sum(role_charge*stoich)=2*Ch+X
LiMgSCl,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Mg,S,Cl,sum(role_charge*stoich)=2*Ch+X
LiMgSBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Mg,S,Br,sum(role_charge*stoich)=2*Ch+X
LiMgSI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Mg,S,I,sum(role_charge*stoich)=2*Ch+X
LiMgSeF,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Mg,Se,F,sum(role_charge*stoich)=2*Ch+X
LiMgSeCl,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Mg,Se,Cl,sum(role_charge*stoich)=2*Ch+X
LiMgSeBr,A1B1_Ch1_X1,SrCuSeF,mp-21228.cif,A1:Li;B1:Mg,Se,Br,sum(role_charge*stoich)=2*Ch+X
LiMgSeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Mg,Se,I,sum(role_charge*stoich)=2*Ch+X
LiMgTeF,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Mg,Te,F,sum(role_charge*stoich)=2*Ch+X
LiMgTeCl,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Mg,Te,Cl,sum(role_charge*stoich)=2*Ch+X
LiMgTeBr,A1B1_Ch1_X1,SrCuTeF,mp-1091416.cif,A1:Li;B1:Mg,Te,Br,sum(role_charge*stoich)=2*Ch+X
LiMgTeI,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Mg,Te,I,sum(role_charge*stoich)=2*Ch+X
LiCaSF,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Ca,S,F,sum(role_charge*stoich)=2*Ch+X
LiCaSCl,A1B1_Ch1_X1,SrCuSF,mp-12444.cif,A1:Li;B1:Ca,S,Cl,sum(role_charge*stoich)=2*Ch+X
LiCaSBr,A1B1_Ch1_X1,NaCuSI,mp-1147584.cif,A1:Li;B1:Ca,S,Br,sum(role_charge*stoich)=2*Ch+X
